Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,51.990002,52.500000,51.770000,51.980000,48.360634,13295600
2017-01-04,52.230000,53.349998,52.090000,53.070000,49.374729,13759500
2017-01-05,52.919998,53.099998,52.439999,53.060001,49.365417,8682200
2017-01-06,53.090000,54.090000,52.980000,53.910000,50.156250,12532400
2017-01-09,53.959999,53.990002,53.220001,53.380001,49.663139,8835300
2017-01-10,53.549999,53.730000,53.110001,53.110001,49.411949,8041900
2017-01-11,53.119999,53.290001,52.669998,52.689999,49.021187,8208300
2017-01-12,52.509998,52.689999,52.160000,52.400002,48.751373,7368700
2017-01-13,52.590000,52.930000,52.230000,52.919998,49.235172,6694400
2017-01-17,53.400002,53.950001,53.009998,53.650002,49.914352,9888500
2017-01-18,53.860001,53.889999,52.860001,53.270000,49.560799,6743100
2017-01-19,53.840000,53.939999,52.889999,52.930000,49.244476,8320600
2017-01-20,53.220001,53.349998,52.900002,53.200001,49.495678,7861000
2017-01-23,53.020000,53.259998,52.720001,53.240002,49.532890,7025700
2017-01-24,53.020000,53.570000,52.990002,53.450001,49.728268,6321300
2017-01-25,53.730000,54.119999,53.689999,53.860001,50.109718,6675000
2017-01-26,54.110001,54.119999,53.360001,53.650002,49.914352,6202000
2017-01-27,53.680000,54.080002,53.029999,53.189999,49.486370,7362000
2017-01-30,52.779999,53.220001,52.410000,53.080002,49.384041,9770800
2017-01-31,51.680000,52.900002,51.630001,52.900002,49.216572,12342900
2017-02-01,52.980000,53.259998,52.610001,53.020000,49.328217,8810900
2017-02-02,53.000000,53.009998,52.480000,52.799999,49.123520,7874200
2017-02-03,52.619999,52.810001,52.250000,52.360001,48.714165,8850400
2017-02-06,52.090000,52.799999,52.049999,52.799999,49.123520,7355200
2017-02-07,53.070000,53.279999,52.669998,52.810001,49.132832,6446900
2017-02-08,52.740002,53.939999,52.700001,53.880001,50.128334,9281100
2017-02-09,53.880001,55.700001,53.880001,55.310001,51.458748,14345400
2017-02-10,55.630001,56.470001,55.630001,56.220001,52.305389,14973400
2017-02-13,56.169998,56.340000,55.750000,56.090000,52.184452,7679800
2017-02-14,55.919998,56.689999,55.830002,56.450001,52.519379,8891400
2017-02-15,56.290001,56.759998,56.209999,56.639999,52.696148,6652000
2017-02-16,56.880001,56.919998,56.099998,56.290001,52.370514,8374200
2017-02-17,56.119999,56.799999,55.860001,56.750000,52.798481,12638000
2017-02-21,56.380001,57.450001,56.200001,57.360001,53.366013,10955000
2017-02-22,57.480000,58.380001,57.360001,58.240002,54.184742,10914100
2017-02-23,58.110001,58.400002,57.270000,57.389999,53.393921,12316300
2017-02-24,57.389999,58.419998,57.070000,57.860001,53.831196,9684500
2017-02-27,57.650002,57.830002,57.349998,57.689999,53.673035,4375700
2017-02-28,57.369999,57.549999,56.860001,57.160000,53.179951,7951300
2017-03-01,57.860001,58.029999,57.330002,57.950001,53.914944,8558900
2017-03-02,57.900002,58.250000,57.650002,57.799999,53.942936,6438400
2017-03-03,57.799999,57.799999,56.509998,56.700001,52.916344,9181600
2017-03-06,56.700001,56.930000,56.529999,56.770000,52.981667,6896800
2017-03-07,56.709999,56.990002,56.020000,56.549999,52.776340,7124400
2017-03-08,56.939999,56.939999,56.310001,56.509998,52.739002,7604800
2017-03-09,56.610001,56.660000,56.090000,56.360001,52.599022,6165700
2017-03-10,56.490002,56.990002,56.259998,56.430000,52.664349,8882400
2017-03-13,56.430000,56.820000,56.110001,56.669998,52.888336,7235900
2017-03-14,56.869999,58.009998,56.720001,57.279999,53.457630,9286900
2017-03-15,57.630001,57.990002,56.750000,57.660000,53.812267,10067500
2017-03-16,57.430000,57.720001,56.830002,57.599998,53.756279,9895000
2017-03-17,57.770000,57.889999,57.310001,57.799999,53.942936,10791500
2017-03-20,58.000000,58.810001,57.959999,58.680000,54.764202,13352500
2017-03-21,58.779999,59.000000,57.720001,58.009998,54.138924,15269800
2017-03-22,54.759998,55.000000,53.759998,53.919998,50.321846,37413400
2017-03-23,54.610001,55.549999,54.520000,55.369999,51.675087,23848300
2017-03-24,55.290001,56.639999,55.119999,56.360001,52.599022,14438600
2017-03-27,55.639999,56.250000,55.540001,55.930000,52.197720,8663600
2017-03-28,55.990002,56.779999,55.790001,56.619999,52.841686,7823900
2017-03-29,56.410000,57.099998,56.349998,56.680000,52.897671,7456200
2017-03-30,56.480000,56.599998,55.810001,56.040001,52.300381,7210500
2017-03-31,56.000000,56.029999,55.650002,55.730000,52.011066,5905600
2017-04-03,55.740002,55.799999,55.150002,55.560001,51.852413,7088800
2017-04-04,55.150002,55.299999,54.830002,55.040001,51.367107,8843300
2017-04-05,54.970001,55.799999,54.500000,54.980000,51.311115,7722100
