timestamp,Temperature,Precipitation,Wind Speed,Wind Direction,Wind Gust
2011-02-01,-1.8853047479166667,0.0,2.7414371541666664,263.43561166666666,3.344999914583333
2011-02-02,-1.4578046754166667,0.0,3.4830128154166666,248.0277049166667,5.894999761666667
2011-02-03,1.2821952616666668,0.020833333333333332,4.293707675,167.08254208333332,4.829999895833333
2011-02-04,5.795112025000001,0.0,13.980575220833332,207.46475458333336,24.689999541666666
2011-02-05,7.511778708333334,0.0,13.388910191666668,253.01382791666666,35.2649988625
2011-02-06,6.418445420833334,0.0,5.0233800791666665,148.51638379166667,5.5949998625
2011-02-07,8.09802875,0.0,5.5918217666666665,121.49607183333335,5.5649999375000005
2011-02-08,6.978862074999999,0.0,6.0764840875,241.31147124999998,8.489999804166667
2011-02-09,5.23802868775,0.0,3.5876089458333333,110.83537391666665,4.9199999125
2011-02-10,6.756362054166666,0.0,5.2188219375000005,123.34389275000001,4.769999895833333
2011-02-11,9.337195454166666,0.008333333333333333,6.658840565416667,189.6575025,8.08499974375
2011-02-12,8.633028804166667,0.0,4.5793121375,200.54660666666666,6.25499994875
2011-02-13,7.4288621500000005,0.0,6.981031658333333,178.93640545833333,8.624999695833333
2011-02-14,7.6417787624999995,0.0,9.522944950000001,132.754502875,8.804999804166666
2011-02-15,6.669278633333334,0.12083333333333333,10.484656183333334,161.69347416666668,18.614999604166666
2011-02-16,6.981362020833333,0.0,7.821523483333333,207.49505375,10.499999679166667
2011-02-17,5.405945308333333,0.0,7.19080866125,188.16351220833334,10.544999927916667
2011-02-18,3.9021952625,0.0,4.438132183333333,279.57350754166663,5.609999804166667
2011-02-19,4.643445320416666,0.0,4.3506860666666665,213.8043285,5.369999766666666
2011-02-20,3.6976118833333333,0.4083333333333334,5.564677608333334,135.95986945833332,7.004999804166666
2011-02-21,3.70886191,0.05000000000000001,6.029181932499999,318.8811508333333,8.744999829166668
2011-02-22,2.4226119304166667,0.0,11.624012883333334,225.57959137499998,14.66999955
2011-02-23,1.124278632625,0.0,11.237856254166667,111.16184504166667,14.909999770833332
2011-02-24,3.077611951125,0.06666666666666667,10.556441416666667,189.04585016666667,12.944999808333334
2011-02-25,6.19719525,0.0,7.214098983333333,288.23540916666667,10.394999604166665
2011-02-26,5.690111991666666,0.06666666666666667,12.439179495833335,196.2108248333333,20.42999952916667
2011-02-27,5.989278579166666,0.08333333333333333,14.955111666666667,295.94489708333333,25.754999645833333
